DEWP,WDSP,MAX,MIN,PRCP,MONTH,VISIB,SLP,MXSPD,date,isUnhealthy
43.7,3.1,66.9,43.0,0.0,1,6.7,1023.1,6.0,2021-01-05,1
40.7,2.4,59.0,39.0,0.0,1,6.2,1023.3,7.0,2021-01-06,1
39.5,3.2,57.9,39.0,0.0,1,4.2,1023.8,8.0,2021-01-07,1
38.7,3.8,61.0,34.0,0.0,1,2.9,1022.7,8.9,2021-01-08,1
39.4,2.8,61.0,34.0,0.0,1,3.4,1024.4,8.0,2021-01-09,1
37.6,3.9,60.1,37.0,0.0,1,5.1,1024.6,8.0,2021-01-10,1
35.3,4.7,61.0,35.1,0.0,1,5.5,1024.9,8.0,2021-01-11,1
36.8,3.0,61.0,35.1,0.0,1,4.5,1024.7,7.0,2021-01-12,1
35.7,2.8,66.9,37.9,0.0,1,4.1,1027.2,8.0,2021-01-14,1
39.7,4.1,70.0,42.1,0.0,1,5.4,1014.4,8.9,2021-01-18,1
33.5,7.2,70.0,44.1,0.0,1,6.0,1009.0,18.1,2021-01-19,1
27.6,6.4,70.0,39.9,0.0,1,9.9,1013.7,17.1,2021-01-22,1
40.6,4.7,62.1,43.0,0.18,1,9.7,1012.4,14.0,2021-01-23,0
